YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,RDZ,Rodez-Marcillac Airport,France,44.40790176,2.482670069,4108,0.008081857332003407
2017,REU,Reus Airport,Spain,41.1473999,1.167170048,8307,0.016342743149209422
2017,RGS,Burgos Airport,Spain,42.357601,-3.62076,164,0.0003226447425629403
2017,RHO,Rhodes International Airport,Greece,36.40539932,28.08620071,37635,0.0740410663802211
2017,RIX,Riga International Airport,Latvia,56.92359924,23.97109985,74482,0.14653186411934707
2017,RNS,Rennes-Saint-Jacques Airport,France,48.06949997,-1.734789968,18621,0.03663394970283239
2017,ROZ,US Naval Station Rota,Spain,36.64519882,-6.349460125,5742,0.011296500681685386
2017,RTM,Rotterdam The Hague Airport,Netherlands,51.956902,4.43722,22982,0.045213545570618865
2017,RZE,Rzeszow-Jasionka Airport,Poland,50.11000061,22.0189991,8176,0.016085020824357317
2017,SAW,Sabiha Gokcen International Airport,Türkiye,40.89860153,29.30920029,214144,0.42129533994755053
2017,SCN,Saarbrucken Airport,Germany,49.21459961,7.109509945,8897,0.01750347728403951
2017,SCQ,Santiago de Compostela Airport,Spain,42.89630127,-8.415140152,20146,0.039634152339469486
2017,SDR,Santander Airport,Spain,43.42710114,-3.820009947,9165,0.018030726009691148
2017,SIR,Sion Airport,Switzerland,46.21960068,7.326759815,5936,0.01167816580398545
2017,SJJ,Sarajevo International Airport,Bosnia and Herzegovina,43.82460022,18.3314991,11860,0.023332723456076048
2017,SKG,Thessaloniki Airport,Greece,40.5196991,22.97089958,55158,0.10851487018467477
2017,SKP,Skopje Alexander the Great Airport,Republic of North Macedonia,41.961601,21.621401,16404,0.03227234364025898
2017,SLM,Salamanca Airport,Spain,40.95209885,-5.501989841,3444,0.006775539593821747
2017,SMA,Santa Maria Airport,Portugal,36.97140121,-25.17060089,2666,0.005244944412639017
2017,SNN,Shannon Airport,Ireland,52.702,-8.92482,21721,0.042732722275668454
2017,SNR,Saint-Nazaire Montoir Airport,France,47.3105556,-2.1566667,2962,0.0058272788260453
2017,SOF,Sofia Airport,Bulgaria,42.69669342,23.41143608,56774,0.11169410130651447
2017,SOU,Southampton Airport,United Kingdom,50.95029831,-1.35679996,43424,0.08543003232349464
2017,SPC,La Palma Airport,Spain,28.626499,-17.7556,17075,0.0335924328003793
2017,SQQ,Siauliai International Airport,Lithuania,55.89390182,23.39500046,1991,0.003916985868553745
2017,STN,London Stansted Airport,United Kingdom,51.88499832,0.234999999,188156,0.37016795232727195
2017,STR,Stuttgart Airport,Germany,48.68989944,9.221960068,117993,0.23213305554407937
2017,SVG,Stavanger Airport,Norway,58.87670135,5.63778019,63821,0.12555798850676472
2017,SVQ,Seville Airport,Spain,37.41799927,-5.893109798,41467,0.08157993621864297
2017,SXB,Strasbourg Airport,France,48.53829956,7.628230095,22512,0.04428889295473727
2017,SXF,Berlin Schonefeld Airport,Germany,52.380001,13.5225,100122,0.19697461533467506
2017,SXL,Sligo Airport,Ireland,54.28020096,-8.599209785,32,6.295507171959811e-05
2017,SZG,Salzburg Airport,Austria,47.79330063,13.00430012,29888,0.058800036986104635
2017,SZY,Olsztyn-Mazury Regional Airport,Poland,53.481899,20.9377,1294,0.0025457457126612485
2017,SZZ,Solidarity Szczecin-Goleniow Airport,Poland,53.58470154,14.90219975,5808,0.011426345517107058
2017,TAY,Tartu Airport,Estonia,58.30749893,26.69039917,1686,0.0033169453412263254
2017,TBS,Tbilisi International Airport,Georgia,41.6692009,44.95470047,32220,0.06338788783767035
2017,TFN,Tenerife-North Airport (Los Rodeos Airport),Spain,28.48270035,-16.34149933,58145,0.114391332660501
2017,TFS,Tenerife-South Airport (Reina Sofia Airport),Spain,28.04450035,-16.57250023,68468,0.13470024532804512
2017,TGD,Podgorica Airport,Montenegro,42.359402,19.2519,12914,0.02540630613084031
2017,TIA,Tirana International Airport,Albania,41.41469955,19.72060013,24559,0.048316050198800316
2017,TLL,Tallinn Airport (Lennart Meri Tallinn Airport),Estonia,59.41329956,24.83279991,41689,0.08201668702869767
2017,TLN,Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport),France,43.09730148,6.146029949,11143,0.021922136380358805
